rates >>>,business $,0.545,medical $,0.18,charity $,0.14,moving $,0.18

SUMMARY

VEHICLE,ODOMETER (START OF YEAR),BUSINESS,COMMUTE,PERSONAL (OTHER),UNCLASSIFIED,TOTAL DISTANCE,BUSINESS VALUE IN $,PARKING IN $,TOLLS IN $,TOTAL VALUE IN $,MEDICAL,MOVING,CHARITY
Sonata,116803,1466.9,0.0,490.1,104.7,2061.7,"=ROUND(PRODUCT(C6, C1), 2)",0.00,0.00,"=ROUND(SUM(H6, I6, J6), 2)",0.0,0.0,0.0
,TOTALS,=SUM(C6:C6),=SUM(D6:D6),=SUM(E6:E6),=SUM(F6:F6),=SUM(G6:G6),=SUM(H6:H6),=SUM(I6:I6),=SUM(J6:J6),=SUM(K6:K6),=SUM(L6:L6),=SUM(M6:M6),=SUM(N6:N6)

DETAILED LOG

START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,MILES_VALUE,PARKING,TOLLS,TOTAL,VEHICLE,PURPOSE,NOTES
07/05/2018 21:33,07/05/2018 21:45,Business,Virginia Beach VA,SGC,3.5,"=ROUND(PRODUCT(F35, C1), 2)",0.00,0.00,"=ROUND(SUM(G35, H35, I35), 2)",Sonata,Business,
07/06/2018 09:34,07/06/2018 09:46,Personal,SGC,Virginia Beach VA,4.3,"=ROUND(PRODUCT(F36, 0), 2)",0.00,0.00,"=ROUND(SUM(G36, H36, I36), 2)",Sonata,Personal,
07/06/2018 11:32,07/06/2018 11:44,Business,Virginia Beach VA,TCC,4.2,"=ROUND(PRODUCT(F37, C1), 2)",0.00,0.00,"=ROUND(SUM(G37, H37, I37), 2)",Sonata,Business,
07/06/2018 15:20,07/06/2018 15:24,Business,TCC,Virginia Beach VA,0.6,"=ROUND(PRODUCT(F38, C1), 2)",0.00,0.00,"=ROUND(SUM(G38, H38, I38), 2)",Sonata,Business,
07/06/2018 15:24,07/06/2018 15:49,Business,Virginia Beach VA,Virginia Beach VA,5.1,"=ROUND(PRODUCT(F39, C1), 2)",0.00,0.00,"=ROUND(SUM(G39, H39, I39), 2)",Sonata,Business,
07/06/2018 16:09,07/06/2018 16:18,Business,Virginia Beach VA,Virginia Beach VA,1.6,"=ROUND(PRODUCT(F40, C1), 2)",0.00,0.00,"=ROUND(SUM(G40, H40, I40), 2)",Sonata,Business,
07/06/2018 16:24,07/06/2018 16:37,Personal,Virginia Beach VA,SGC,2.9,"=ROUND(PRODUCT(F41, 0), 2)",0.00,0.00,"=ROUND(SUM(G41, H41, I41), 2)",Sonata,Personal,
07/06/2018 18:01,07/06/2018 18:22,Business,SGC,Northeast Virginia Beach Virginia Beach VA,5.9,"=ROUND(PRODUCT(F42, C1), 2)",0.00,0.00,"=ROUND(SUM(G42, H42, I42), 2)",Sonata,Business,
07/06/2018 18:32,07/06/2018 19:05,Business,Northeast Virginia Beach Virginia Beach VA,Northeast Virginia Beach Virginia Beach VA,12.2,"=ROUND(PRODUCT(F43, C1), 2)",0.00,0.00,"=ROUND(SUM(G43, H43, I43), 2)",Sonata,Business,
07/06/2018 19:09,07/06/2018 19:46,Business,Northeast Virginia Beach Virginia Beach VA,Maggy McFly,10.3,"=ROUND(PRODUCT(F44, C1), 2)",0.00,0.00,"=ROUND(SUM(G44, H44, I44), 2)",Sonata,Business,
